created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 16:18:08 +0000 2023;1,71866E+18;Drama paling Kereenn sepanjang Republik ini berdiri 😂😂 #ganjar #ganjarpranowo #prabowo #prabowosubianto #paktelur #ganjarmahfud #ganjarmahfudmd #ganjarmahfud2024 #yennywahid #gusdur #fyp #fypシ https://t.co/B4SctpEPDL;0;0;1;1;in;1,62623E+18;1,71866E+18;rafikaananta02;https://twitter.com/rafikaananta02/status/1718663516297777511
Sun Oct 29 16:17:21 +0000 2023;1,71866E+18;@PagiPerindu Mantap, kawal GanjarMahfud sampe jadi presiden 2024 #GanjarMahfudTaatKonstitusi;0;0;0;0;in;1,70685E+18;1,71854E+18;nattaniel39296;https://twitter.com/nattaniel39296/status/1718663318913827068
Sun Oct 29 16:15:32 +0000 2023;1,71866E+18;Ganjar mahfud tetap jd pilihan terbaik #GanjarMahfud2024 #GanjarMahfud #dukungganjarmahfud https://t.co/BZvjUZTvsX;0;0;0;0;in;1,70434E+18;1,71866E+18;udhi77099;https://twitter.com/udhi77099/status/1718662863030820985
Sun Oct 29 16:11:15 +0000 2023;1,71866E+18;@SINDOnews yakinlah GANJARMAHFUD bisa memajukan Indonesia;0;0;0;0;in;1,69186E+18;1,71839E+18;satriayaaaa;https://twitter.com/satriayaaaa/status/1718661787376296176
Sun Oct 29 16:06:19 +0000 2023;1,71866E+18;Orang Baik pasti Dukung orang Baik #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/siPQqP5rEV;0;0;0;0;in;1,70436E+18;1,71866E+18;mamudmariaa;https://twitter.com/mamudmariaa/status/1718660545015157133
Sun Oct 29 16:06:05 +0000 2023;1,71866E+18;@ekokuntadhi1 Tetap GanjarMahfud;0;0;0;0;in;1,70679E+18;1,71852E+18;EfatuSos;https://twitter.com/EfatuSos/status/1718660486139724242
Sun Oct 29 16:05:41 +0000 2023;1,71866E+18;@kumparan Gass GanjarMahfud;0;0;0;0;in;1,70679E+18;1,71861E+18;EfatuSos;https://twitter.com/EfatuSos/status/1718660386579419599
Sun Oct 29 16:03:03 +0000 2023;1,71866E+18;@kiki_daliyo Ayo pak bas. Mana canda  tawamu yg bisa  menghibur kesedihan rakyat pak. Pelan2 kita bangun hukum kita yg kuat melalui GanjarMahfud .;0;0;0;0;in;1,71068E+18;1,71858E+18;Darni900;https://twitter.com/Darni900/status/1718659719865466976
Sun Oct 29 16:01:17 +0000 2023;1,71866E+18;@kiki_daliyo Pak bas. Kami rindu kecerian mu pak. Biarkan hukum ini di  utus anak2 muda dan  GanjarMahfud . Hibur kami dengancanda mu pak. Canda yg membangun pemikiran tajam terhadap penguasa saay ini;0;0;0;0;in;1,65143E+18;1,71858E+18;Zeeh006;https://twitter.com/Zeeh006/status/1718659279312622048
Sun Oct 29 16:00:36 +0000 2023;1,71866E+18;@kiki_daliyo Ayo pak bas. Mana canda  tawamu yg bisa  menghibur kesedihan rakyat pak. Pelan2 kita bangun hukum kita yg kuat melalui GanjarMahfud .;0;0;0;0;in;1,70482E+18;1,71858E+18;rizaa46;https://twitter.com/rizaa46/status/1718659104330469451
Sun Oct 29 15:59:40 +0000 2023;1,71866E+18;@ILCTalkshow Gass GanjarMahfud dukung sampai;0;0;0;0;in;1,70679E+18;1,71853E+18;EfatuSos;https://twitter.com/EfatuSos/status/1718658869415772339
Sun Oct 29 15:36:12 +0000 2023;1,71865E+18;@gus_dibyo @gibran_tweet Yang penting sekarang fokus untuk selalu mendukung GanjarMahfud aja;0;0;0;0;in;1,61383E+18;1,71862E+18;beloveme14;https://twitter.com/beloveme14/status/1718652965815472548
Sun Oct 29 15:35:27 +0000 2023;1,71865E+18;Semua cinta pak Ganjar-Mahfud ❤❤ #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/V6q8C1RZaq;0;0;0;0;in;1,70371E+18;1,71865E+18;Marwah17099;https://twitter.com/Marwah17099/status/1718652777025663368
Sun Oct 29 15:34:36 +0000 2023;1,71865E+18;@gus_dibyo @gibran_tweet Yah mau gimna lagi, yang penting GanjarMahfud menang satu putaran;0;0;0;0;in;1,69756E+18;1,71862E+18;syelaagum;https://twitter.com/syelaagum/status/1718652562679959824
Sun Oct 29 15:32:34 +0000 2023;1,71865E+18;Masyarakat Cinta Pemimpin yang Mendorong Penegakan Hukum dan Pemberantasan Korupsi #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/PpILwiTdqC;0;0;0;1;in;1,70407E+18;1,71865E+18;MuhMichaelzz;https://twitter.com/MuhMichaelzz/status/1718652048462504209
Sun Oct 29 15:32:30 +0000 2023;1,71865E+18;Semua cinta Ganjar Mahfud ❤❤ #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/EHx8Xt1kZd;0;0;0;0;in;1,70372E+18;1,71865E+18;ocktaviani_rina;https://twitter.com/ocktaviani_rina/status/1718652033497239736
Sun Oct 29 15:28:18 +0000 2023;1,71865E+18;Ganjar Mahfud, kualitasnya tidak perlu diragukan lagi Presiden Wapres pilihan kita. #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/4vcwyXVHEM;0;0;0;0;in;1,70301E+18;1,71865E+18;renocta92;https://twitter.com/renocta92/status/1718650976310349908
Sun Oct 29 15:27:05 +0000 2023;1,71865E+18;Semua cinta Ganjar Mahfud #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/HKW6ZtAdzW;0;0;0;0;in;1,47585E+18;1,71865E+18;DilaAgstn9;https://twitter.com/DilaAgstn9/status/1718650671086686629
Sun Oct 29 15:25:52 +0000 2023;1,71865E+18;Masyarakat Cinta Pemimpin yang Mendorong Penegakan Hukum dan Pemberantasan Korupsi #GanjarMahfud #GanjarMahfud2024 #DukungGanjarMahfud https://t.co/L1qk0eGga8;0;0;0;0;in;1,46786E+18;1,71865E+18;MuliaAyu__;https://twitter.com/MuliaAyu__/status/1718650362431971838
Sun Oct 29 15:25:25 +0000 2023;1,71865E+18;@kompascom GanjarMahfud gaspoll satu putaran;0;0;0;0;in;1,70724E+18;1,71859E+18;sulis32969;https://twitter.com/sulis32969/status/1718650252088246674
Sun Oct 29 15:23:27 +0000 2023;1,71865E+18;Orang baik pasti dukung orang baik  #ganjarmahfud #ganjarmahfud2024 #dukungganjarmahfud https://t.co/o9dxU98yXS;0;0;0;0;in;1,70337E+18;1,71865E+18;dewi_tissak;https://twitter.com/dewi_tissak/status/1718649754467627493
