created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 15:21:09 +0000 2023;1718649176312234451;"Kaesang Minta PSI NTT Menangkan Partai dan Prabowo-Gibran. #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/GC6pzRuLmP";0;0;0;0;in;1686229274532147200;1718649176312234451;Netizenn08;https://twitter.com/Netizenn08/status/1718649176312234451
Sun Oct 29 14:59:00 +0000 2023;1718643602065072442;"Sempat Dicabuti Satpol PP, Bendera Partai Golkar Karangasem Kini Terpasang Kembali #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/1x8YCJ3fSW";0;0;0;1;in;721898354502930433;1718643602065072442;golkarpedia;https://twitter.com/golkarpedia/status/1718643602065072442
Sun Oct 29 14:56:00 +0000 2023;1718642849179447654;"@kompascom #prabowogibran";0;0;0;0;qme;4753128931;1718590799913660898;CosloveG;https://twitter.com/CosloveG/status/1718642849179447654
Sun Oct 29 14:25:20 +0000 2023;1718635131706253811;"@ramotgun @rieyansyahmuh #PrabowoGibran";0;0;0;0;qme;1652759390959828992;1718624181448011814;ben_yelet;https://twitter.com/ben_yelet/status/1718635131706253811
Sun Oct 29 13:59:00 +0000 2023;1718628502386425949;"Demi Pembangunan Inklusif di Indonesia, Airlangga Hartarto: Proyek Strategis Nasional Harus Dilanjutkan #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/xeItjC0TwH";0;0;5;6;in;721898354502930433;1718628502386425949;golkarpedia;https://twitter.com/golkarpedia/status/1718628502386425949
Sun Oct 29 13:31:02 +0000 2023;1718621466860933563;"#PrabowoGibran";0;9;2;11;qht;1258626853541052421;1718621466860933563;ajengcute16__;https://twitter.com/ajengcute16__/status/1718621466860933563
Sun Oct 29 13:25:07 +0000 2023;1718619977769791986;"Sebuah Utas Meskipun berstatus sebagai starkid alias anak selebriti, namun nyatanya putra sulung Aamir Khan, Junaid Khan yang akan debut telah mengalami serangkaian penolakan kala audisi loh......  Pak Bas Kiky #PrabowoGibran Ganjar https://t.co/cT8vATqyhv";0;3;0;0;in;1207126079351083008;1718619977769791986;Nizar79794368;https://twitter.com/Nizar79794368/status/1718619977769791986
Sun Oct 29 13:22:33 +0000 2023;1718619332463440142;"@4_devout @Gerindra #PrabowoAja #PrabowoGibran #PrabowoGibran2024 #PrabowoUntukSemua  😘👌";0;0;0;0;qme;587564775;1718616593788436574;3_devout;https://twitter.com/3_devout/status/1718619332463440142
Sun Oct 29 13:11:40 +0000 2023;1718616593788436574;"@Gerindra Sebut Jalan Santai #PrabowoGibran di Makassar Diikuti 500 Ribu Peserta dan Raih Rekor Muri  #PrabowoAja #PrabowoGibran #PrabowoGibran2024 #PrabowoUntukSemua  https://t.co/fpi0Mgg6JM";0;1;0;0;in;893384580014657536;1718616593788436574;4_devout;https://twitter.com/4_devout/status/1718616593788436574
Sun Oct 29 13:05:39 +0000 2023;1718615078583632382;"@tvOneNews TvOne Tvnya prabowogibran ya?";0;0;0;0;in;1604147520112037888;1718154827354747266;AmsirRamlie88;https://twitter.com/AmsirRamlie88/status/1718615078583632382
Sun Oct 29 12:59:00 +0000 2023;1718613403424661823;"Ace Hasan Minta Caleg Partai Golkar di Jabar Kompak dan Kerja Keras Hadapi Pemilu 2024 #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/gVgwBr1rnI";0;0;10;12;in;721898354502930433;1718613403424661823;golkarpedia;https://twitter.com/golkarpedia/status/1718613403424661823
Sun Oct 29 12:40:18 +0000 2023;1718608699747672166;"@herna_setiawan @Chaves1305 Menjaga konsistensi memang susah tp hrs dilakukan demi menjaga persatuan dan kerukunan, itu yg selalu kami utamakan bro, salam damai dari pendukung #PrabowoGibran";0;0;0;1;in;1446109632603115524;1718577825564008927;Bank_Joee_;https://twitter.com/Bank_Joee_/status/1718608699747672166
Sun Oct 29 12:36:29 +0000 2023;1718607738971042250;"KOALISI INDONESIA MAJU 🇮🇩  @Gerindra @golkar_id @golkarpedia @partaigeloraid @psi_id @PDemokrat @PartaiPAN @OfficialDPP_PBB  #PrabowoGibran #PrabowoSubianto #PrabowoGibran2024 #Gibran2024 #PrabowoAja https://t.co/XDr71TFJAd";0;0;0;0;in;969154654922620928;1718607738971042250;Diky_Penjelajah;https://twitter.com/Diky_Penjelajah/status/1718607738971042250
Sun Oct 29 12:30:00 +0000 2023;1718606105776119968;"Bakal Maju Pilgub DKI, Ridwan Kamil Sebut Mimpi dan Langkah Kecil, Apa Maksudnya? #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/JGbsFF13Vv https://t.co/uq3xU4TEyO";0;0;2;0;in;1563769423248642048;1718606105776119968;GolkarSolid;https://twitter.com/GolkarSolid/status/1718606105776119968
Sun Oct 29 12:15:28 +0000 2023;1718602449878220802;"@txtcopypaste @Musliadi194 @celanajoger2325 @Danangsasongko9 @Illustragic @ernestprakasa Lgsg sebut aj prabowogibran ngab gausah muter2";0;1;0;0;in;1405754337503039491;1718502137041432624;Pusink25016665;https://twitter.com/Pusink25016665/status/1718602449878220802
Sun Oct 29 12:12:25 +0000 2023;1718601682953924638;"KOALISI INDONESIA MAJU 🇮🇩  #PrabowoGibran #PrabowoAja #prabowo #PrabowoGibran2024 https://t.co/mX22DAMBZe";0;0;0;0;in;969154654922620928;1718601682953924638;Diky_Penjelajah;https://twitter.com/Diky_Penjelajah/status/1718601682953924638
Sun Oct 29 12:06:00 +0000 2023;1718600066267791487;"Monggo didengarkan suara rakyat yg suka makan rocket chicken CC Bu Mega  Pak Bas fans Manchester united  #GanjarMahfud #PrabowoGibran #AniesMuhaimin  😛😛 https://t.co/jIfTgUVrig";0;0;0;1;in;1049162436333326338;1718600066267791487;Legionareee;https://twitter.com/Legionareee/status/1718600066267791487
Sun Oct 29 12:00:30 +0000 2023;1718598680692101443;"Fahri Hamzah: Tak Ada Istilah Melanggengkan Kekuasaan dalam Demokrasi, Semuanya Itu Elected By the People  Baca di sini: https://t.co/iB9xOYyAnu  #PartaiGelora #FahriHamzah #Demokrasi #PrabowoGibran #Capres2024 #MahfudMD #GanjarPranowo #PutusanMK #Jokowi #Politik https://t.co/vhF2pE6JIt";0;0;1;0;in;998801336601788417;1718598680692101443;finindonesia;https://twitter.com/finindonesia/status/1718598680692101443
Sun Oct 29 11:59:00 +0000 2023;1718598303389221235;"Jalan di Lampung Makin Mulus, Presiden Jokowi Puji Kinerja Gubernur Arinal Djunaidi #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/YI47R6scy4";0;0;10;11;in;721898354502930433;1718598303389221235;golkarpedia;https://twitter.com/golkarpedia/status/1718598303389221235
Sun Oct 29 11:54:54 +0000 2023;1718597273456947396;"Sarmuji Sebut Pasangan Prabowo Gibran Sudah Separuh Menang Sebelum Perang : Bikin Keder dan grogi lawan #Sarmuji #Prabowo #prabowosubianto #Prabowo2024 #PrabowoGibran #prabowofor2024 #gibran #GibranRakabuming #Gibran2024 #golkar https://t.co/PyCqnATbXU";0;0;0;0;in;1641877454339076098;1718597273456947396;Kanalindonesia;https://twitter.com/Kanalindonesia/status/1718597273456947396
Sun Oct 29 11:41:32 +0000 2023;1718593909050474977;"Sebagai pendukung kubuh #PrabowoGibran sedikit was2 jga, jgan sampai dia nyeleneh lagi";0;0;0;0;in;1149385939208196097;1718593909050474977;Herianto_K;https://twitter.com/Herianto_K/status/1718593909050474977
Sun Oct 29 11:37:01 +0000 2023;1718592771010003034;"Lahadalia: Pemimpin Harus Sudah Selesai dengan Dirinya Sendiri, Baru Memikirkan Rakyat dengan Baik.  @sudaru_sudaryono @prabowo @gerindrajateng @gibran_rakabuming @gerindra  #PrabowoSubianto #prabowo #prabowopresiden #prabowogibran #GibranRakabuming #pemersatubangsa #masdar https://t.co/R8kotVcIhK";0;2;0;1;in;1565956824683409408;1718592771010003034;GerindraTegal;https://twitter.com/GerindraTegal/status/1718592771010003034
Sun Oct 29 11:30:00 +0000 2023;1718591006587699203;"Bagus Linggih Tegaskan AMPI Bali Siap Menangkan Prabowo-Gibran di Pilpres 2024 #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/puCXPNPpSd";0;0;5;5;in;721898354502930433;1718591006587699203;golkarpedia;https://twitter.com/golkarpedia/status/1718591006587699203
Sun Oct 29 10:59:00 +0000 2023;1718583203869360255;"Hamka B Kady Serap Aspirasi Warga di Kota Makassar, Dari Kualitas Hidup Hingga Kondisi Bendungan Bili-Bili #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/EolD2WY5Up";0;0;0;0;in;721898354502930433;1718583203869360255;golkarpedia;https://twitter.com/golkarpedia/status/1718583203869360255
Sun Oct 29 10:44:12 +0000 2023;1718579480128835775;"Beberapa contoh kepala negara di bwah 40 tahun .. 💪💪 #PrabowoGibran #PrabowoGibran2024 #Jokowi https://t.co/kWUkhtPCIa";0;1;0;0;in;119127669;1718579480128835775;DutaLinux;https://twitter.com/DutaLinux/status/1718579480128835775
Sun Oct 29 10:43:41 +0000 2023;1718579350050906359;"@Leonita_Lestari Satu kata, kita menangkan #PrabowoGibran demi Indonesia yang lebih baik. Daripada Milih Capres lain gambling, kita tetap pilih pilihan pak @jokowi";0;0;0;0;in;1234113432783216640;1718547751519281476;rijnab2;https://twitter.com/rijnab2/status/1718579350050906359
Sun Oct 29 10:39:54 +0000 2023;1718578397713228136;"@islah_bahrawi Pilpres 2024 depan tampaknya akan diisi oleh kubu keberlanjutan (PrabowoGibran) dengan kubu perubahan (AniesMuhaimin). Yang tidak jelas kelaminnya akan tergusur.";0;0;0;0;in;80237965;1718577883621503153;ben_joe71;https://twitter.com/ben_joe71/status/1718578397713228136
Sun Oct 29 10:30:00 +0000 2023;1718575907034829281;"Sri Kumalasari Tekankan Pentingnya Pemerataan Pendidikan dan Kesehatan di Berau #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/CYdNMB77F9";0;0;0;0;in;721898354502930433;1718575907034829281;golkarpedia;https://twitter.com/golkarpedia/status/1718575907034829281
Sun Oct 29 10:27:30 +0000 2023;1718575278904254861;"Elektabilitas menuat membuat paslon Prabowo-Gibran unggul dibandingkan dengan pasangan lainnya  #GibranCawapres #PrabowoGibran Minggu https://t.co/QLGerCye2n";0;0;0;0;in;1708731760052461568;1718575278904254861;tamafaris_;https://twitter.com/tamafaris_/status/1718575278904254861
Sun Oct 29 10:02:56 +0000 2023;1718569096684732613;"Magelang Satu suara mendukung pemimpin muda Gibran Rakabuming. Kehadirannya di Ponpes Darussalam langsung dibanjiri oleh warga yang ingin bertemu Gibran Rakabuming #GibranCawapres #PrabowoGibran #Minggu https://t.co/IRKxYsReMW";0;0;0;1;in;1693532235771908096;1718569096684732613;raden_revano;https://twitter.com/raden_revano/status/1718569096684732613
Sun Oct 29 09:59:54 +0000 2023;1718568331932790852;"Pencalonan Prabowo berpotensi mengancam demokrasi di Indonesia, aktivis demokrasi menyayangkan ‘cawe-cawe’ Jokowi terhadap Prabowo.  #Jokowi #Prabowo #PrabowoGibran #Demokrasi #Pilpres2024 #GenZ #Millenial   https://t.co/EGVWGIAqa0";0;0;0;1;in;1687285054240636928;1718568331932790852;rpk_indonesia;https://twitter.com/rpk_indonesia/status/1718568331932790852
Sun Oct 29 09:59:00 +0000 2023;1718568104479875393;"Rohidin Mersyah Tekankan Peran Guru Sebagai Role Model Pendidikan Karakter Siswa #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/IQ2ER9kJPo";0;0;0;0;in;721898354502930433;1718568104479875393;golkarpedia;https://twitter.com/golkarpedia/status/1718568104479875393
Sun Oct 29 09:46:20 +0000 2023;1718564917190791531;"Indonesia maju bedsama prabowo gibran #PrabowoGibran https://t.co/ze8roMuhpF";0;0;0;0;in;1099311976075776000;1718564917190791531;posttruth__;https://twitter.com/posttruth__/status/1718564917190791531
Sun Oct 29 09:46:02 +0000 2023;1718564842381135876;"Gw aja yang sengaja Vote Ganjar - Mahfud masih kalah jauh sama Prabowo - Gibran.  Prabowo - Gibran gak ada obat..! Dah lah All in Prabowo - Gibran #PrabowoGibran";0;0;0;0;in;380947757;1718564842381135876;ArdivanSky61;https://twitter.com/ArdivanSky61/status/1718564842381135876
Sun Oct 29 09:20:36 +0000 2023;1718558440254324910;"Heboh dengan berita Kiky, mas @gibran_tweet malah sibuk menghampiri pedagang dong... "Halah senyumin aja!"   #GibranCawapres  #PrabowoGibran https://t.co/rakI01Jvu4";0;0;1;10;in;26163596;1718558440254324910;nadataufik;https://twitter.com/nadataufik/status/1718558440254324910
Sun Oct 29 09:16:10 +0000 2023;1718557326289056054;"@CebongQarduz @prabowo @gibran_tweet ampun suhu🥹";0;0;0;0;in;1691073065181159425;1718511628722041113;prabowogibran08;https://twitter.com/prabowogibran08/status/1718557326289056054
