publishedAt,authorDisplayName,textDisplay,likeCount
2023-10-28T00:37:16Z,ILun SAKA,Menangis <br>Jawa barat asli nol ganjar<br>Jawa tengah gibran nyedot<br>Jawa timur cak imin nyedot<br>Banten nol<br>apalagi jakarta anis bnget<br>2 putaran prabowo vs anies,0
2023-10-27T21:57:11Z,Narwan Sujoko,Amin pk Ganjar semoga rakyat akan selalu bersamamu hersama Ridho Alloh memenangkanmu pk Ganjar,0
2023-10-27T21:00:54Z,ADDUS. SALAM,Dia adalah petugas partay bukan presedin kakau menang,0
2023-10-27T20:10:46Z,Ambo Ko dah,Kasihan si uban capek capek menjilat ga jd di endorse 😂,0
2023-10-27T16:47:18Z,Johan Junot Tube,"Ngurus Jateng 2 periode aja gak becus, tetapnya jadi provinsi jawa termiskin dari pada Jabar dan Jatim. Oh rakyat pilih lah pemimpin yg BKN dari pengalaman saja, tapi yg Benar benar mengedepankan rakyat",0
2023-10-27T16:23:46Z,mr. blanc,Saya tetap pilih ganjar sebagai RI 1...<br><br>Cukup 2 periode... stop 3 periode berkuasa...,0
2023-10-27T15:35:02Z,Happy Turtle 🐢,Banting stir ges jd males gw dukung ni org😂 najong,0
2023-10-27T13:57:57Z,Ingge,Mantab🎉,0
2023-10-27T11:16:23Z,Ainun Wardah,Saya dari jatim siap mendukung  Pak ganjar semangatt.,0
2023-10-27T10:29:59Z,MyFico,"Kalau begitu tidak usah dirisaukan Prabowo-gibran. Itu para pendukung nya/PDIP terlihat begitu panik,",0
2023-10-27T09:46:56Z,islam sendang,Ganjar siji ganjar kabeh,0
2023-10-27T09:45:02Z,Sulardi Lardi,Siap pak ganjar pasti menang maju RI 1.untuk nkri harga mati. Salam sehat buat pak ganjar.🙏🙏🙏❤️❤️.suwun.,0
2023-10-27T08:18:58Z,Endang Su,"Alhamdulillah atas menangnya Pak Ganjar dn Pak Mahfud ,untk rakyat dn negara&#39; ,bukan untk anak ato kluarga,Amiiin ya Alloh.",0
2023-10-27T02:52:25Z,Maz Bro,Sekali Ganjar tetap  Ganjar,0
2023-10-26T19:54:01Z,Syafitrii Syafitrii,Prabowo Gibran ❤,0
2023-10-26T15:44:34Z,Vicky Aja,"Ganjar yang terbaik untuk Indonesia, prabowo ambisius dan penghianat buktinya sumbangan sekarung dari emak emak di lupakan begitu saja karena pengin jadi menteri",0
2023-10-26T13:11:23Z,Lazio AL ishaqi,Warga porwodadi mendukung pkgajar,0
2023-10-26T13:10:37Z,Lazio AL ishaqi,Pk ganjar harus jadi persiden❤❤❤,0
2023-10-26T12:06:40Z,Aldi Firdaus,Prabowo-gibran menang 1 putaran 🤲🤲🤲,1
2023-10-26T12:04:36Z,Putin Beliung,Ojo kepedean pak Ganjar.😂😂😂 Nanti jatuh,0
2023-10-26T11:40:11Z,Kaunanes90 Kaunanes90,Klo pak Ganjar menang berarti mesin politik PDIP benar2 bekerja tp kalo kalah maka byk yg akan pertanyakan mesin politik PDIP,0
2023-10-26T11:37:20Z,Gimin Tambar,Smga bapak Ganjar <br>Menang muntlak.,0
2023-10-26T11:27:40Z,Gunawan Otomotif,"Setuju Mas GANJAR,,,,,INGAT RAKYAT SELALU BERSAMA BAPAK",0
